Epoch 52: Loss 0.01, Reward 0.0, Avgloss 0.06, Avgreward 0.17, Epsilon 0.97, TotalStep 1584
Epoch 53: Loss 0.02, Reward 0.0, Avgloss 0.06, Avgreward 0.17, Epsilon 0.97, TotalStep 1607
Epoch 54: Loss 0.08, Reward 1.0, Avgloss 0.06, Avgreward 0.18, Epsilon 0.97, TotalStep 1658
Epoch 55: Loss 0.00, Reward 0.0, Avgloss 0.06, Avgreward 0.18, Epsilon 0.97, TotalStep 1681
Epoch 56: Loss 0.05, Reward 2.0, Avgloss 0.06, Avgreward 0.21, Epsilon 0.97, TotalStep 1781
Epoch 57: Loss 0.15, Reward 1.0, Avgloss 0.06, Avgreward 0.22, Epsilon 0.97, TotalStep 1852
Epoch 58: Loss 0.04, Reward 0.0, Avgloss 0.06, Avgreward 0.22, Epsilon 0.97, TotalStep 1875
Epoch 59: Loss 0.03, Reward 0.0, Avgloss 0.06, Avgreward 0.22, Epsilon 0.96, TotalStep 1896
Epoch 60: Loss 0.17, Reward 2.0, Avgloss 0.06, Avgreward 0.25, Epsilon 0.96, TotalStep 2010
Epoch 61: Loss 0.08, Reward 0.0, Avgloss 0.06, Avgreward 0.24, Epsilon 0.96, TotalStep 2031
Epoch 62: Loss 0.03, Reward 0.0, Avgloss 0.06, Avgreward 0.24, Epsilon 0.96, TotalStep 2054
Epoch 63: Loss 0.25, Reward 2.0, Avgloss 0.07, Avgreward 0.27, Epsilon 0.96, TotalStep 2152
Epoch 64: Loss 0.04, Reward 0.0, Avgloss 0.07, Avgreward 0.26, Epsilon 0.96, TotalStep 2175
Epoch 65: Loss 0.08, Reward 1.0, Avgloss 0.07, Avgreward 0.27, Epsilon 0.96, TotalStep 2246
Epoch 66: Loss 0.05, Reward 0.0, Avgloss 0.07, Avgreward 0.27, Epsilon 0.96, TotalStep 2269
Epoch 67: Loss 0.06, Reward 1.0, Avgloss 0.07, Avgreward 0.28, Epsilon 0.96, TotalStep 2341
Epoch 68: Loss 0.03, Reward 0.0, Avgloss 0.06, Avgreward 0.28, Epsilon 0.96, TotalStep 2364
Epoch 69: Loss 0.04, Reward 0.0, Avgloss 0.06, Avgreward 0.27, Epsilon 0.96, TotalStep 2387
Epoch 70: Loss 0.07, Reward 0.0, Avgloss 0.06, Avgreward 0.27, Epsilon 0.96, TotalStep 2408
Epoch 71: Loss 0.10, Reward 1.0, Avgloss 0.06, Avgreward 0.28, Epsilon 0.95, TotalStep 2477
Epoch 72: Loss 0.01, Reward 0.0, Avgloss 0.06, Avgreward 0.27, Epsilon 0.95, TotalStep 2500
Epoch 73: Loss 0.01, Reward 0.0, Avgloss 0.06, Avgreward 0.27, Epsilon 0.95, TotalStep 2523
Epoch 74: Loss 0.03, Reward 0.0, Avgloss 0.06, Avgreward 0.27, Epsilon 0.95, TotalStep 2546
Epoch 75: Loss 0.03, Reward 0.0, Avgloss 0.06, Avgreward 0.26, Epsilon 0.95, TotalStep 2569
Epoch 76: Loss 0.04, Reward 0.0, Avgloss 0.06, Avgreward 0.26, Epsilon 0.95, TotalStep 2592
Epoch 77: Loss 0.01, Reward 0.0, Avgloss 0.06, Avgreward 0.26, Epsilon 0.95, TotalStep 2613
Epoch 78: Loss 0.01, Reward 0.0, Avgloss 0.06, Avgreward 0.25, Epsilon 0.95, TotalStep 2636
Epoch 79: Loss 0.03, Reward 0.0, Avgloss 0.06, Avgreward 0.25, Epsilon 0.95, TotalStep 2659
Epoch 80: Loss 0.03, Reward 0.0, Avgloss 0.06, Avgreward 0.25, Epsilon 0.95, TotalStep 2682
Epoch 81: Loss 0.02, Reward 0.0, Avgloss 0.06, Avgreward 0.24, Epsilon 0.95, TotalStep 2705
Epoch 82: Loss 0.00, Reward 0.0, Avgloss 0.06, Avgreward 0.24, Epsilon 0.95, TotalStep 2728
Epoch 83: Loss 0.16, Reward 2.0, Avgloss 0.06, Avgreward 0.26, Epsilon 0.95, TotalStep 2826
Epoch 84: Loss 0.03, Reward 0.0, Avgloss 0.06, Avgreward 0.26, Epsilon 0.95, TotalStep 2849
Epoch 85: Loss 0.05, Reward 1.0, Avgloss 0.06, Avgreward 0.27, Epsilon 0.95, TotalStep 2920
Epoch 86: Loss 0.08, Reward 1.0, Avgloss 0.06, Avgreward 0.28, Epsilon 0.94, TotalStep 2992
Epoch 87: Loss 0.06, Reward 0.0, Avgloss 0.06, Avgreward 0.27, Epsilon 0.94, TotalStep 3015
Epoch 88: Loss 0.09, Reward 0.0, Avgloss 0.06, Avgreward 0.27, Epsilon 0.94, TotalStep 3038
Epoch 89: Loss 0.16, Reward 1.0, Avgloss 0.06, Avgreward 0.28, Epsilon 0.94, TotalStep 3105
Epoch 90: Loss 0.03, Reward 0.0, Avgloss 0.06, Avgreward 0.27, Epsilon 0.94, TotalStep 3128
Epoch 91: Loss 0.03, Reward 0.0, Avgloss 0.06, Avgreward 0.27, Epsilon 0.94, TotalStep 3151
Epoch 92: Loss 0.02, Reward 0.0, Avgloss 0.06, Avgreward 0.27, Epsilon 0.94, TotalStep 3172
Epoch 93: Loss 0.04, Reward 0.0, Avgloss 0.06, Avgreward 0.27, Epsilon 0.94, TotalStep 3195
Epoch 94: Loss 0.01, Reward 0.0, Avgloss 0.06, Avgreward 0.26, Epsilon 0.94, TotalStep 3218
Epoch 95: Loss 0.03, Reward 0.0, Avgloss 0.06, Avgreward 0.26, Epsilon 0.94, TotalStep 3241
Epoch 96: Loss 0.02, Reward 0.0, Avgloss 0.06, Avgreward 0.26, Epsilon 0.94, TotalStep 3262
Epoch 97: Loss 0.02, Reward 0.0, Avgloss 0.06, Avgreward 0.26, Epsilon 0.94, TotalStep 3285
Epoch 98: Loss 0.10, Reward 2.0, Avgloss 0.06, Avgreward 0.27, Epsilon 0.94, TotalStep 3383
Epoch 99: Loss 0.02, Reward 0.0, Avgloss 0.06, Avgreward 0.27, Epsilon 0.94, TotalStep 3404
Epoch 100: Loss 0.01, Reward 0.0, Avgloss 0.06, Avgreward 0.27, Epsilon 0.94, TotalStep 3425
Epoch 101: Loss 0.12, Reward 3.0, Avgloss 0.06, Avgreward 0.30, Epsilon 0.93, TotalStep 3596
Epoch 102: Loss 0.07, Reward 1.0, Avgloss 0.06, Avgreward 0.31, Epsilon 0.93, TotalStep 3671
Epoch 103: Loss 0.03, Reward 0.0, Avgloss 0.06, Avgreward 0.31, Epsilon 0.93, TotalStep 3694
Epoch 104: Loss 0.02, Reward 0.0, Avgloss 0.06, Avgreward 0.31, Epsilon 0.93, TotalStep 3717
Epoch 105: Loss 0.07, Reward 1.0, Avgloss 0.06, Avgreward 0.32, Epsilon 0.93, TotalStep 3768
Epoch 106: Loss 0.04, Reward 0.0, Avgloss 0.06, Avgreward 0.32, Epsilon 0.93, TotalStep 3791
Epoch 107: Loss 0.06, Reward 1.0, Avgloss 0.06, Avgreward 0.33, Epsilon 0.93, TotalStep 3863
